LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-06,101.7335,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-07,101.6334,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-08,101.5435,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-09,101.48,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-10,101.4501,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-11,101.4117,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-12,101.3026,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-01,101.0795,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-02,100.8264,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-03,100.6651,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-04,100.6943,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-05,100.838,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-06,100.9984,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-07,101.0956,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-08,101.0899,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-09,100.9107,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-10,100.4881,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-11,99.9586,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-12,99.4865,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-01,99.1932,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-02,99.0282,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-03,98.9321,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-04,98.8706,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-05,98.8002,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-06,98.6777,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-07,98.478,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-08,98.2643,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-09,98.1271,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-10,98.1362,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-11,98.2173,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-12,98.2728,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-01,98.2317,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-02,98.1249,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-03,97.9951,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-04,97.8735,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-05,97.779,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-06,97.735,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-07,97.7596,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-08,97.8051,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-09,97.8116,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-10,97.7403,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-11,97.6449,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-12,97.6126,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-01,97.7287,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-02,97.9785,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-03,98.3661,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-04,98.8995,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-05,99.4386,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-06,99.7882,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-07,99.7862,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-08,99.5803,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-09,99.3431,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-10,99.1905,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-11,99.1319,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-12,99.1699,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-01,99.3076,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-02,99.4573,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-03,99.5128,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-04,99.4078,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-05,99.2698,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-06,99.2899,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-07,99.6258,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-08,100.1466,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-09,100.6974,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-10,101.1799,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-11,101.6014,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-12,101.9848,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-01,102.3386,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-02,102.6655,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-03,102.9476,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-04,103.1598,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-05,103.3266,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-06,103.4668,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-07,103.584,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-08,103.682,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-09,103.7531,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-10,103.784,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-11,103.7894,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-12,103.7812,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-01,103.7629,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-02,103.7377,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-03,103.701,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-04,103.6393,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-05,103.5408,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-06,103.3789,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-07,103.1318,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-08,102.8666,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-09,102.673,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-10,102.6146,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-11,102.6094,
