LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-01,101.1073,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-02,101.0915,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-03,100.9628,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-04,100.747,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-05,100.6195,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-06,100.6493,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-07,100.8078,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-08,100.9398,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-09,101.0766,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-10,101.1858,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-11,101.035,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-12,100.5543,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-01,99.8689,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-02,99.5442,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-03,99.619,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-04,99.9304,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-05,100.1569,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-06,100.2151,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-07,100.1511,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-08,100.0823,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-09,100.0256,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-10,99.9657,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-11,99.9122,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-12,99.8418,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-01,99.7509,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-02,99.7268,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-03,99.6844,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-04,99.626,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-05,99.5662,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-06,99.4718,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-07,99.322,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-08,99.2025,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-09,99.1018,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-10,99.0302,
