LOCATION,Indicator,EDUCATION_LEVEL,CPI_Category,TIME,Year,Month,Value
Denmark,CPI,,CPI: 01-12 - All items,2015-01,2015,01,-0.1011122
Denmark,CPI,,CPI: 01-12 - All items,2015-02,2015,02,0.3015075
Denmark,CPI,,CPI: 01-12 - All items,2015-03,2015,03,0.6024097
Denmark,CPI,,CPI: 01-12 - All items,2015-04,2015,04,0.501002
Denmark,CPI,,CPI: 01-12 - All items,2015-05,2015,05,0.7021063
Denmark,CPI,,CPI: 01-12 - All items,2015-06,2015,06,0.6018054
Denmark,CPI,,CPI: 01-12 - All items,2015-07,2015,07,0.7035176
Denmark,CPI,,CPI: 01-12 - All items,2015-08,2015,08,0.6036217
Denmark,CPI,,CPI: 01-12 - All items,2015-09,2015,09,0.5015045
Denmark,CPI,,CPI: 01-12 - All items,2015-10,2015,10,0.3006012
Denmark,CPI,,CPI: 01-12 - All items,2015-11,2015,11,0.3012048
Denmark,CPI,,CPI: 01-12 - All items,2015-12,2015,12,0.4024145
Denmark,CPI,,CPI: 01-12 - All items,2016-01,2016,01,0.6072875
Denmark,CPI,,CPI: 01-12 - All items,2016-02,2016,02,0.3006012
Denmark,CPI,,CPI: 01-12 - All items,2016-03,2016,03,0
Denmark,CPI,,CPI: 01-12 - All items,2016-04,2016,04,0
Denmark,CPI,,CPI: 01-12 - All items,2016-05,2016,05,0.0996016
Denmark,CPI,,CPI: 01-12 - All items,2016-06,2016,06,0.2991027
Denmark,CPI,,CPI: 01-12 - All items,2016-07,2016,07,0.2994012
Denmark,CPI,,CPI: 01-12 - All items,2016-08,2016,08,0.2
Denmark,CPI,,CPI: 01-12 - All items,2016-09,2016,09,0
Denmark,CPI,,CPI: 01-12 - All items,2016-10,2016,10,0.2997003
Denmark,CPI,,CPI: 01-12 - All items,2016-11,2016,11,0.4004004
Denmark,CPI,,CPI: 01-12 - All items,2016-12,2016,12,0.501002
Denmark,CPI,,CPI: 01-12 - All items,2017-01,2017,01,0.9054326
Denmark,CPI,,CPI: 01-12 - All items,2017-02,2017,02,0.999001
Denmark,CPI,,CPI: 01-12 - All items,2017-03,2017,03,0.998004
Denmark,CPI,,CPI: 01-12 - All items,2017-04,2017,04,1.09671
Denmark,CPI,,CPI: 01-12 - All items,2017-05,2017,05,0.7960199
Denmark,CPI,,CPI: 01-12 - All items,2017-06,2017,06,0.5964215
Denmark,CPI,,CPI: 01-12 - All items,2017-07,2017,07,1.492537
Denmark,CPI,,CPI: 01-12 - All items,2017-08,2017,08,1.497006
Denmark,CPI,,CPI: 01-12 - All items,2017-09,2017,09,1.596806
Denmark,CPI,,CPI: 01-12 - All items,2017-10,2017,10,1.494024
