Country code,Country,0-4,Oct-14,100+,15-19,20-24,25-29,30-34,35-39,40-44,45-49,05-Sep,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,Total Population,Total Population (in Millions)
108,Burundi,2053.84,1508.36,0.017,1216.932,1042.77,986.811,875.169,664.378,446.705,300.927,1818.607,259.788,232.186,201.291,138.34,70.37,41.759,21.866,8.435,1.964,0.266,11890.781,11.890781
174,Comoros,123.508,101.676,0.001,89.592,79.58,71.265,63.671,53.706,42.657,34.379,114.13,28.128,22.764,17.534,12.122,7.145,4.514,2.249,0.78,0.173,0.021,869.595,0.869595
262,Djibouti,99.162,88.543,0.004,90.777,90.208,87.12,86.291,76.125,66.787,54.135,97.948,42.4,35.677,26.328,18.006,13.937,8.393,4.165,1.563,0.382,0.051,988.002,0.988002
232,Eritrea,495.07,486.693,0.028,373.932,285.247,286.989,269.281,191.483,141.245,139.597,476.7,88.101,83.849,68.421,59.906,47.223,29.859,15.2,5.761,1.548,0.294,3546.427,3.546427
231,Ethiopia,16791.484,13853.199,0.444,12975.795,11746.856,9692.189,7518.893,6273.985,4933.945,4104.708,15246.064,3228.746,2475.32,2056.264,1568.29,1188.435,740.933,371.805,152.113,38.737,5.378,114963.583,114.963583
404,Kenya,7044.364,6736.223,0.009,6010.656,5236.593,4357.681,4022.692,3447.454,2759.45,2143.595,6969.546,1604.073,1201.53,888.215,630.611,381.067,193.272,101.724,36.394,5.808,0.343,53771.3,53.7713
450,Madagascar,4109.427,3330.79,0.128,3012.138,2675.744,2222.992,1829.738,1541.17,1314.071,1073.787,3653.51,858.467,681.298,529.275,385.933,224.722,135.141,73.493,29.957,7.933,1.305,27691.019,27.691019
454,Malawi,2923.943,2561.842,0.005,2176.211,1838.717,1538.801,1292.429,993.594,806.787,629.954,2738.576,481.315,364.833,277.622,202.626,152.766,91.476,42.803,13.354,2.162,0.139,19129.955,19.129955
480,Mauritius,64.048,80.576,0.119,94.588,94.111,102.698,88.439,86.669,99.352,82.738,68.838,85.134,90.215,75.135,62.855,44.574,24.639,15.427,7.907,2.924,0.781,1271.767,1.271767
175,Mayotte,36.078,34.932,0.017,29.634,24.882,18.745,17.143,15.843,14.988,12.361,35.396,9.196,6.968,5.276,4.096,2.925,2.073,1.247,0.66,0.27,0.083,272.813,0.272813
