Country	Lat	Long_	Country/State	Lat_state_country	Long_state_country	Population
Afghanistan	33.93911	67.709953	N/A	33.93911	67.709953	38928341
Albania	41.1533	20.1683	N/A	41.1533	20.1683	2877800
Algeria	28.0339	1.6596	N/A	28.0339	1.6596	43851043
Andorra	42.5063	1.5218	N/A	42.5063	1.5218	76177
Angola	-11.2027	17.8739	N/A	-11.2027	17.8739	32866268
Antigua and Barbuda	17.0608	-61.7964	N/A	17.0608	-61.7964	97928
Argentina	-38.4161	-63.6167	N/A	-38.4161	-63.6167	45195777
Armenia	40.0691	45.0382	N/A	40.0691	45.0382	2963234
Australia	-32.106275	141.3554875	N/A	-32.106275	141.3554875	25499881
Austria	47.5162	14.5501	N/A	47.5162	14.5501	9006400
Azerbaijan	40.1431	47.5769	N/A	40.1431	47.5769	10139175
Bahamas	25.025885	-78.035889	N/A	25.025885	-78.035889	393248
Bahrain	26.0275	50.55	N/A	26.0275	50.55	1701583
Bangladesh	23.685	90.3563	N/A	23.685	90.3563	164689383
Barbados	13.1939	-59.5432	N/A	13.1939	-59.5432	287371
Belarus	53.7098	27.9534	N/A	53.7098	27.9534	9449321
Belgium	50.8333	4.469936	N/A	50.8333	4.469936	11589616
Belize	17.1899	-88.4976	N/A	17.1899	-88.4976	397621
Benin	9.3077	2.3158	N/A	9.3077	2.3158	12123198
Bhutan	27.5142	90.4336	N/A	27.5142	90.4336	771612
Bolivia	-16.2902	-63.5887	N/A	-16.2902	-63.5887	11673029
Bosnia and Herzegovina	43.9159	17.6791	N/A	43.9159	17.6791	3280815
Brazil	-14.235	-51.9253	N/A	-14.235	-51.9253	212559409
Brunei	4.5353	114.7277	N/A	4.5353	114.7277	437483
Bulgaria	42.7339	25.4858	N/A	42.7339	25.4858	6948445
Burkina Faso	12.2383	-1.5616	N/A	12.2383	-1.5616	20903278
Cabo Verde	16.5388	-23.0418	N/A	16.5388	-23.0418	555988
Cambodia	11.55	104.9167	N/A	11.55	104.9167	16718971
Cameroon	3.848	11.5021	N/A	3.848	11.5021	26545864
Canada	42.57038667	-74.63268667	N/A	42.57038667	-74.63268667	37742157
Central African Republic	6.6111	20.9394	N/A	6.6111	20.9394	4829764
Chad	15.4542	18.7322	N/A	15.4542	18.7322	16425859
Chile	-35.6751	-71.543	N/A	-35.6751	-71.543	19116209
China			N/A	32.82838485	111.6490818	1439323774
Taiwan*	23.7	121	N/A	23.7	121	23816775
Colombia	4.5709	-74.2973	N/A	4.5709	-74.2973	50882884
Congo (Brazzaville)	-4.2634	15.2832	N/A	-4.2634	15.2832	5244359
Congo (Kinshasa)	-4.322447	15.307045	N/A	-4.322447	15.307045	11855000
Costa Rica	9.7489	-83.7534	N/A	9.7489	-83.7534	5094114
Cote d'Ivoire	7.54	-5.5471	N/A	7.54	-5.5471	26378275
Croatia	45.1	15.2	N/A	45.1	15.2	4105268
Cuba	21.521757	-77.781167	N/A	21.521757	-77.781167	11326616
Cyprus	35.1264	33.4299	N/A	35.1264	33.4299	1207361
Czechia	49.8175	15.473	N/A	49.8175	15.473	10708982
Denmark	56.2639	9.5018	N/A	63.2878	-13.3381	5792203
Djibouti	11.8251	42.5903	N/A	11.8251	42.5903	988002
Dominican Republic	18.7357	-70.1627	N/A	18.7357	-70.1627	10847904
Ecuador	-1.8312	-78.1834	N/A	-1.8312	-78.1834	17643060
Egypt	26.820553	30.802498	N/A	26.820553	30.802498	102334403
El Salvador	13.7942	-88.8965	N/A	13.7942	-88.8965	6486201
Equatorial Guinea	1.6508	10.2679	N/A	1.6508	10.2679	1402985
Eritrea	15.1794	39.7823	N/A	15.1794	39.7823	3546427
Estonia	58.5953	25.0136	N/A	58.5953	25.0136	1326539
Eswatini	-26.5225	31.4659	N/A	-26.5225	31.4659	1160164
Ethiopia	9.145	40.4897	N/A	9.145	40.4897	114963583
Fiji	-17.7134	178.065	N/A	-17.7134	178.065	896444
Finland	61.92411	25.748151	N/A	61.92411	25.748151	5540718
France	46.2276	2.2137	N/A	4.4578295	-18.2331014	65273512
Gabon	-0.8037	11.6094	N/A	-0.8037	11.6094	2225728
Gambia	13.4432	-15.3101	N/A	13.4432	-15.3101	2416664
Georgia	42.3154	43.3569	N/A	42.3154	43.3569	3989175
Germany	51.165691	10.451526	N/A	51.165691	10.451526	83783945
Ghana	7.9465	-1.0232	N/A	7.9465	-1.0232	31072945
Greece	39.0742	21.8243	N/A	39.0742	21.8243	10423056
Grenada	12.1165	-61.679	N/A	12.1165	-61.679	112519
Guatemala	15.7835	-90.2308	N/A	15.7835	-90.2308	17915567
Guinea	9.9456	-9.6966	N/A	9.9456	-9.6966	13132792
Guinea-Bissau	11.8037	-15.1804	N/A	11.8037	-15.1804	1967998
Guyana	4.860416	-58.93018	N/A	4.860416	-58.93018	786559
Haiti	18.9712	-72.2852	N/A	18.9712	-72.2852	11402533
Honduras	15.2	-86.2419	N/A	15.2	-86.2419	9904608
Hungary	47.1625	19.5033	N/A	47.1625	19.5033	9660350
Iceland	64.9631	-19.0208	N/A	64.9631	-19.0208	341250
India	20.593684	78.96288	N/A	20.593684	78.96288	1380004385
Indonesia	-0.7893	113.9213	N/A	-0.7893	113.9213	273523621
Iraq	33.223191	43.679291	N/A	33.223191	43.679291	40222503
Ireland	53.1424	-7.6921	N/A	53.1424	-7.6921	4937796
Israel	31.046051	34.851612	N/A	31.046051	34.851612	8655541
Italy	41.87194	12.56738	N/A	41.87194	12.56738	60461828
Jamaica	18.1096	-77.2975	N/A	18.1096	-77.2975	2961161
Japan	36.204824	138.252924	N/A	36.204824	138.252924	126476458
Jordan	31.24	36.51	N/A	31.24	36.51	10203140
Kazakhstan	48.0196	66.9237	N/A	48.0196	66.9237	18776707
Kenya	-0.0236	37.9062	N/A	-0.0236	37.9062	53771300
Kuwait	29.31166	47.481766	N/A	29.31166	47.481766	4270563
Kyrgyzstan	41.20438	74.766098	N/A	41.20438	74.766098	6524191
Laos	19.85627	102.495496	N/A	19.85627	102.495496	7275556
Latvia	56.8796	24.6032	N/A	56.8796	24.6032	1886202
Lebanon	33.8547	35.8623	N/A	33.8547	35.8623	6825442
Liberia	6.428055	-9.429499	N/A	6.428055	-9.429499	5057677
Libya	26.3351	17.228331	N/A	26.3351	17.228331	6871287
Liechtenstein	47.14	9.55	N/A	47.14	9.55	38557
Lithuania	55.1694	23.8813	N/A	55.1694	23.8813	2722291
Luxembourg	49.8153	6.1296	N/A	49.8153	6.1296	625976
Madagascar	-18.766947	46.869107	N/A	-18.766947	46.869107	27691019
Malaysia	4.210484	101.975766	N/A	4.210484	101.975766	32365998
Maldives	3.2028	73.2207	N/A	3.2028	73.2207	540542
Mali	17.570692	-3.996166	N/A	17.570692	-3.996166	20250834
Malta	35.9375	14.3754	N/A	35.9375	14.3754	441539
Mauritania	21.0079	-10.9408	N/A	21.0079	-10.9408	4649660
Mauritius	-20.348404	57.552152	N/A	-20.348404	57.552152	1271767
